id,type,modified,institutionCode,collectionCode,basisOfRecord,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,lifeStage,reproductiveCondition,establishmentMeans,occurrenceStatus,preparations,associatedSequences,associatedTaxa,previousIdentifications,eventDate,verbatimEventDate,habitat,eventRemarks,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy,dateIdentified,identificationRemarks,identificationQualifier,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalStatus
NSW:NSW:NSW 572013,PhysicalObject,2018-10-16 16:03:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 572013,NSW 572013,"Tree 4-5 m with whitish tightly compacted many layered bark; branchlets stiff and brittle, not drooping; green leaves; nearly white flowers drying off to reddish (Calyx pale greenish remainder creamy white).",19566,"Blake, S.T.",,buds,native,Present,,,,,1954-07-16,,Forming with Eucalyptus grandifolia a sparse community on ill drained flats wtih hard light grey soil +/- 110 m.,,,,,,Australia,,Queensland,,Croydon,Croydon,,,,,,,,"18,10,,S,142,13,,E,",,,,,-18.17,142.22,,10000.0,,,,,,,,,"Wilson, Peter G.",2013-05-30,,,isotype,Melaleuca stenostachya S.T.Blake,,,,,Myrtaceae,Melaleuca,stenostachya,,,S.T.Blake,
NSW:NSW:NSW 586724,PhysicalObject,2019-01-24 16:24:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 586724,NSW 586724,Stephenson's Australian Plants.,67,"Stephenson, W.",,flowers,native,Present,sheet,,,,1844,,,,,,,,Australia,,New South Wales,,Collected within 125 miles of Sydney.,Collected within 125 miles of Sydney.,,,,,,,,,,,,,,,,,,,,,,,,,"Wilson, Peter G.",2019-01-24,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 924602,PhysicalObject,2019-01-31 16:03:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 924602,NSW 924602,"8 metre tree. WGS84, WP18, fruit, flowers, photos 888-900 [18 22 28.7 142 54 29.9]. Voucher for Delbessie Inspection.",6527,"Wannan, B.S.",,flowers | fruit,,Present,sheet,,,,2012-06-19,,"Beside Pleasant Ck on sandy alluvium. Sandy riparian woodland/ Open Woodland T1(14): Eucalyptus camaldulensis, Corymbia polycarpa, Corymbia confertiflora , T2(8-10): Melaleuca fluviatilis, Parinari nonda, Terminalia, Erythrophleum chlorostachys, Pandanus T3(2-4): Acacia leptostachya, Acacia torulosa, ditto, Planchonia careya, Acacia holosericea, Syzygium eucalyptoides. Gnd: Cyperus, weedy senna, water monitor.",,,,,,Australia,,Queensland,,"Langlovale, west of Georgetown.","Langlovale, west of Georgetown.",,209.0,209.0,,,,,"18,22,29,S,142,54,30,E,GDA94",,,,,-18.374631,142.908308,GDA94,,,,,,,,,,Queensland Herbarium (BRI),,,,,Melaleuca fluviatilis Barlow,,,,,Myrtaceae,Melaleuca,fluviatilis,,,Barlow,
NSW:NSW:NSW 940219,PhysicalObject,2019-02-26 12:05:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 940219,NSW 940219,"Low shrub to 1 metre. WGS84, WP56, photos L763-74, O7388-7401, N561-83 [124 47.4 S, 143 6 36 E].",6738,"Wannan, B.S.",,,,Present,sheet,,,,2014-10-29,,Sand dune 20 metres west of the edge of lake. Lake with open water and Dapsilanthus in water. Low heath to 1.5 m at margins; NB water is slightly salty.,,,,,,Australia,,Queensland,,"Lake within dune formation, Bromley.","Lake within dune formation, Bromley.",,32.0,32.0,,,,,"12,04,47,S,143,06,36,E,GDA94",,,,,-12.0798,143.10993,GDA94,,,,,,,,,,Queensland Herbarium (BRI),2015-04-15,,,,Melaleuca cajuputi subsp. platyphylla Barlow,,,,,Myrtaceae,Melaleuca,cajuputi,,subsp.,Barlow,
NSW:NSW:NSW 940283,PhysicalObject,2019-03-15 14:13:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 940283,NSW 940283,,,"Willis, J.L.",,fruit,native,Present,sheet,,,,1953-08,,,,,,,,Australia,,Queensland,,Fraser Island.,Fraser Island.,,,,,,,,"25,15,,S,153,10,,E,",,,,,-25.25,153.17,,,,,,,,,,,,,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 942191,PhysicalObject,2018-11-06 11:34:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 942191,NSW 942191,Tree 7 m; paperbark on trunk & limbs; outer limbs smooth dappled grey; fruiting. DNA voucher.,KRM18819,"McDonald, K.R.",,fruit,native,Present,sheet,,,,2016-10-07,,Melaleuca woodland with shrubby understorey on edge of lagoon.,,,,,,Australia,,Queensland,,"Keatings Lagoon Conservation Park, 6 km by road S of Cooktown.","Keatings Lagoon Conservation Park, 6 km by road S of Cooktown.",,,,,,,,"15,30,27,S,145,13,43,E,GDA94",,,,,-15.5075,145.2286,GDA94,70.0,,,,,,,,,,,,,,Melaleuca saligna Schauer,,,,,Myrtaceae,Melaleuca,saligna,,,Schauer,
NSW:NSW:NSW 942261,PhysicalObject,2018-10-30 13:48:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 942261,NSW 942261,Tree to 10 m with grey/white slightly papery bark. Voucher for image.,GPT1759,"Turpin, G.P.",,fruit,native,Present,sheet,,,,2014-09-10,,Edge of plateau with sandstone rocks. Low woodland of Melaleuca stenostachya and Leptospermum sp. Shallow white sand with sandstone to surface.,,,,,,Australia,,Queensland,,"Olkola country on Killarney Station on Kimba Plateau, Cape York Peninsula.","Olkola country on Killarney Station on Kimba Plateau, Cape York Peninsula.",,,,,,,,"15,25,30,S,143,36,29,E,GDA94",,,,,-15.42508,143.60803,GDA94,70.0,,,,,,,,,"Newton, M.",2014-10,,,,Melaleuca stenostachya S.T.Blake,,,,,Myrtaceae,Melaleuca,stenostachya,,,S.T.Blake,
NSW:NSW:NSW 943332,PhysicalObject,2019-02-06 09:35:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 943332,NSW 943332,Flowers in April. Fruit and wood in October. (Received from Forestry Dept. as 53/112.),,"Hills, N.S.",,flowers | fruit,native,Present,sheet,,,,,April and October 1952,,,,,,,Australia,,Queensland,,Near (about S.E. of) Maryborough.,Near (about S.E. of) Maryborough.,,,,,,,,"25,37,,S,152,50,,E,GDA94",,,,,-25.62,152.83,GDA94,10000.0,,,,,,,,,"Blake, S.T.",1957-05-17,,,,Melaleuca viridiflora Sol. ex Gaertn.,,,,,Myrtaceae,Melaleuca,viridiflora,,,Sol. ex Gaertn.,
NSW:NSW:NSW 943333,PhysicalObject,2019-02-06 09:41:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 943333,NSW 943333,Flowers in April. Fruit and wood in October. (Received from Forestry Dept. as 53/113.),,"Hills, N.S.",,flowers | fruit,native,Present,sheet,,,,,April and October 1952,,,,,,,Australia,,Queensland,,Near (about S.E. of) Maryborough.,Near (about S.E. of) Maryborough.,,,,,,,,"25,37,,S,152,50,,E,GDA94",,,,,-25.62,152.83,GDA94,10000.0,,,,,,,,,"Blake, S.T.",1957-05-17,,,,Melaleuca viridiflora Sol. ex Gaertn.,,,,,Myrtaceae,Melaleuca,viridiflora,,,Sol. ex Gaertn.,
NSW:NSW:NSW 943336,PhysicalObject,2019-02-08 17:22:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 943336,NSW 943336,Narrow leaf Tea Tree. No flowers on these treesat present time in this district.,,"Gannon, R.T.",,buds,native,Present,sheet,,,,1966-06-22,,Growing near Laura River.,,,,,,Australia,,Queensland,,Near Laura River at Laura.,Near Laura River at Laura.,,,,,,,,"15,34,,S,144,27,,E,",,,,,-15.57,144.45,,10000.0,,,,,,,,,,,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 943337,PhysicalObject,2019-02-08 17:23:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 943337,NSW 943337,Narrow leaf Tea Tree. No flowers on these treesat present time in this district.,,"Gannon, R.T.",,buds,native,Present,sheet,,,,1966-06-22,,Growing near Laura River.,,,,,,Australia,,Queensland,,Near Laura River at Laura.,Near Laura River at Laura.,,,,,,,,"15,34,,S,144,27,,E,",,,,,-15.57,144.45,,10000.0,,,,,,,,,,,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 943697,PhysicalObject,2019-02-19 12:11:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 943697,NSW 943697,Tree to 20 m. Lotus Bird Lodge No. 12.,1886,"Wannan, B.S.",,flowers,,Present,sheet,,,,2000-07-13,,"Flat area beside lagoon. Open woodland beside lagoon with trees: Lophostemon suaveolens, Melaleuca spp., Acacia spp., Corymbia clarksoniana, C. tessellaris, Terminalia spp., Leptospermum madidum.",,,,,,Australia,,Queensland,,"Lotus Bird Lodge, Violetvale.","Lotus Bird Lodge, Violetvale.",,28.0,28.0,,,,,"14,42,41,S,143,43,55,E,",,,,,-14.71133,143.732,,,,,,,,,,,,,,,,Melaleuca leucadendra (L.) L.,,,,,Myrtaceae,Melaleuca,leucadendra,,,(L.) L.,
NSW:NSW:NSW 943732,PhysicalObject,2019-02-19 11:40:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 943732,NSW 943732,Low tree. Voucher for Vegetation Mapping (ICC). Site Mo 14.,2997,"Wannan, B.S.",,fruit,,Present,sheet,,,,2003-05-15,,"Low flat seasonally inundated area on fine alluvium. Low grassy woodland to 6 m. Trees: (6 m, PFC 10) Melaleuca viridiflora, Asteromyrtus sp., Melaleuca sp. Understorey: (2 m, PFC 5) Melaleuca sp, Banksia dentata. Groundcover: (0.5 m, PFC 20) Rhynchospora pterochaeta, Drosera spp., Thysanotus sp., Haemodorum coccineum, Buchnera sp., Utricularia sp., Mitrasacme sp., Cassytha filiformis, Polygala sp., Utricularia sp., Stylidium sp., Lindernia sp., Eriocaulon sp., Tricoryne anceps. Vines: Dischidia nummularia. Epiphytes: Dendrobium sp.",,,,,,Australia,,Queensland,,"Moa in Torres Strait, beside Kubin - St Pauls Road.","Moa in Torres Strait, beside Kubin - St Pauls Road.",,35.0,35.0,,,,,"10,12,20,S,142,17,16,E,GDA94",,,,,-10.20558,142.2878,GDA94,,,,,,,,,,Queensland Herbarium (BRI),2004-09-08,,,,Melaleuca saligna Schauer,,,,,Myrtaceae,Melaleuca,saligna,,,Schauer,
NSW:NSW:NSW 1006016,PhysicalObject,2018-08-31 16:26:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1006016,NSW 1006016,Large paper-bark tree.,,"Thompson, J.",,,native,Present,sheet,,,,1999-05-06,,Bank of river near falls.,,,,,,Australia,,Queensland,,Bloomfield River.,Bloomfield River.,,,,,,,,"15,58,,S,145,19,,E,",,,,,-15.97,145.32,,10000.0,,,,,,,,,,,,,,Melaleuca leucadendra (L.) L.,,,,,Myrtaceae,Melaleuca,leucadendra,,,(L.) L.,
NSW:NSW:NSW 1006017,PhysicalObject,2018-08-31 16:39:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1006017,NSW 1006017,Common branching tree with loose flaky bark.,4802,"Thompson, J.",,buds | fruit,native,Present,sheet,,,,1999-05-14,,Behind rocky shore.,,,,,,Australia,,Queensland,Noosa National Park,Tea Tree Bay.,Tea Tree Bay.,,,,,,,,"26,23,,S,153,06,,E,GDA94",,,,,-26.38,153.1,GDA94,250.0,,,,,,,,,"Wilson, Peter G.",2018-08-31,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 1053734,PhysicalObject,2019-02-06 09:53:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053734,NSW 1053734,,,"Lassak, E.V.",,sterile,native,Present,sheet,,,,1975-04-30,,,,,,,,Australia,,Queensland,,West Normanby River.,West Normanby River.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melaleuca viridiflora Sol. ex Gaertn.,,,,,Myrtaceae,Melaleuca,viridiflora,,,Sol. ex Gaertn.,
NSW:NSW:NSW 1053735,PhysicalObject,2019-02-06 09:53:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053735,NSW 1053735,,,"Lassak, E.V.",,sterile,native,Present,sheet,,,,1975-04-30,,,,,,,,Australia,,Queensland,,Near Laura - Cooktown - Cairns crossroads.,Near Laura - Cooktown - Cairns crossroads.,,,,,,,,"15,52,,S,144,51,,E,GDA94",,,,,-15.87,144.85,GDA94,5000.0,,,,,,,,,,,,,,Melaleuca viridiflora Sol. ex Gaertn.,,,,,Myrtaceae,Melaleuca,viridiflora,,,Sol. ex Gaertn.,
NSW:NSW:NSW 1053736,PhysicalObject,2019-02-06 10:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053736,NSW 1053736,Silky young shoots. Non methyl cinnamate oil form.,,"McKern, H.H.G.",,fruit,native,Present,sheet,,,,1968-06-18,,,,,,,,Australia,,Queensland,,25 miles NW of Hann River on road to Coen.,25 miles NW of Hann River on road to Coen.,,,,,,,,"14,58,,S,143,35,,E,GDA94",,,,,-14.97,143.58,GDA94,5000.0,,,,,,,,,"Blake, S.T.",1968-07,,,,Melaleuca viridiflora Sol. ex Gaertn.,,,,,Myrtaceae,Melaleuca,viridiflora,,,Sol. ex Gaertn.,
NSW:NSW:NSW 1053790,PhysicalObject,2019-02-11 11:50:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053790,NSW 1053790,,,"Welch, M.B.",,flowers,native,Present,sheet,,,,1926-06,,,,,,,,New Caledonia,,,,[No precise locality given].,[No precise locality given].,,,,,,,,,,,,,,,,,,,,,,,,,"Blake, S.T.",1953-04,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 1053791,PhysicalObject,2019-02-11 12:30:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053791,NSW 1053791,,,"Small, B.E.",,flowers | fruit,native,Present,sheet,,,,1960-10,,,,,,,,Australia,,New South Wales,,"south bank, Nambucca River at Nambucca Heads","south bank, Nambucca River at Nambucca Heads",,,,,,,,"30,39,,S,153,00,,E,",,,,,-30.65,153.0,,5000.0,,,,,,,,,,,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 1053792,PhysicalObject,2019-02-11 12:36:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053792,NSW 1053792,"Bark sample for K. Bamber. [""Voucher for study of bark by R.K. (Ken) Bamber, see Aust.J.Bot. 10(1):25-54 (Debenham acknowledged p. 52)"" Peter G. Wilson Feb 2019]",,"Debenham, C.",,flowers | fruit,native,Present,sheet,,,,1959-03,,,,,,,,Australia,,New South Wales,,North Head.,North Head.,,,,,,,,"33,49,,S,151,18,,E,",,,,,-33.82,151.3,,2000.0,,,,,,,,,,,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 1053793,PhysicalObject,2019-02-11 12:45:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053793,NSW 1053793,,9,"Smith-White, S.",,flowers | fruit,native,Present,sheet,,,,1943-03-10,,,,,,,,Australia,,New South Wales,,Coramba.,Coramba.,,,,,,,,"30,12,,S,153,01,,E,",,,,,-30.2,153.02,,10000.0,,,,,,,,,,,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 1053794,PhysicalObject,2019-02-11 12:49:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053794,NSW 1053794,,,"Maiden, J.H.",,flowers,native,Present,sheet,,,,1883-06,,,,,,,,Australia,,New South Wales,,Manly.,Manly.,,,,,,,,"33,48,,S,151,16,,E,",,,,,-33.8,151.27,,2000.0,,,,,,,,,"Blake, S.T.",1953-04,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 1053795,PhysicalObject,2019-02-11 12:51:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053795,NSW 1053795,,,"Cannon, D.",,flowers | fruit,native,Present,sheet,,,,1915-05,,,,,,,,Australia,,New South Wales,,Woy Woy.,Woy Woy.,,,,,,,,"33,28,,S,151,19,,E,",,,,,-33.47,151.32,,2000.0,,,,,,,,,"Blake, S.T.",1953-04,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 1053796,PhysicalObject,2019-02-11 12:53:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053796,NSW 1053796,,,"Irby, L.G.",,fruit,native,Present,sheet,,,,1912-01,,,,,,,,Australia,,New South Wales,,Port Macquarie.,Port Macquarie.,,,,,,,,"31,27,,S,152,55,,E,",,,,,-31.45,152.92,,10000.0,,,,,,,,,"Blake, S.T.",1953-04,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 1053797,PhysicalObject,2019-02-11 12:55:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053797,NSW 1053797,,,"Irby, L.G.",,fruit,native,Present,sheet,,,,1911-12,,,,,,,,Australia,,New South Wales,,Bondi.,Bondi.,,,,,,,,"33,52,,S,151,16,,E,",,,,,-33.87,151.27,,2000.0,,,,,,,,,"Blake, S.T.",1953-04,,,,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
NSW:NSW:NSW 1053798,PhysicalObject,2019-02-12 15:24:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 1053798,NSW 1053798,,,"Laseron, C.F.",,flowers | fruit,native,Present,sheet,,,,1913-07,,,,,,,,Australia,,New South Wales,,Rose Bay.,Rose Bay.,,,,,,,,"33,52,,S,151,16,,E,",,,,,-33.87,151.27,,5000.0,,,,,,,,,"Wilson, Peter G.",2019-02-12,,,isolectotype,Melaleuca quinquenervia (Cav.) S.T.Blake,,,,,Myrtaceae,Melaleuca,quinquenervia,,,(Cav.) S.T.Blake,
